id,store_name,item_type,item_name,item_link,price_multiplier,description,subjective_input
1,IKEA,Arm Chair,Tullsta,http://www.ikea.com/ca/en/catalog/products/60100879/,1,The included cushion can be used for lumbar support. Extra covers make it easy to give both your sofa and room a new look.,"Clean and modern, but shallow and uncomfortable. A chair for looking at more than sitting in."
2,IKEA,Couch,Klippan,http://www.ikea.com/ca/en/catalog/products/S39871653/,1,Extra covers make it easy to give both your sofa and room a new look.,"We don't deny the Klippan is stylish, and the removable slipcover has come in handy. And with every year's catalog we continue to dream of buying a new slipcover as a fresh start. But all the slipcovers in Sweden won't make this sofa comfortable."
3,IKEA,Coffee Table,Lack,http://www.ikea.com/ca/en/catalog/products/50272376/#/40104270,1,Easy to assemble. Lightweight and easy to move.,"The best thing about this table is that you can bring it home on the subway, and it costs less than a (weekly) Metropass. A bland design that's cheaply finished and scratches easily. Great for hacking, though, so keep it for parts when you upgrade."
4,IKEA,Desk,Besta,http://www.ikea.com/ca/en/catalog/products/70116653/,1,It?s easy to keep cords and cables out of sight but close at hand with the cable outlet at the back.,"A boring design, with minimal space for storage and working. Belongs in a dorm room or on the curb."
5,IKEA,Bed,Malm,http://www.ikea.com/ca/en/catalog/products/S39849855/,1,Real wood veneer will make this bed age gracefully. Adjustable bed sides allow you to use mattresses of different thicknesses.,This is a decent enough bed once it's in place. But the act of building this bed with someone will be the true test of your relationship.  Choose wisely.
6,IKEA,Dining Table,Ingo,http://www.ikea.com/ca/en/catalog/products/14630009/,1,Solid pine; a natural material that ages beautifully. Seats 4.,"The most basic chair in existence. Great if you like to DIY. Forever plain if you don't. But not particularly comfortable, stable or durable in either case."
7,IKEA,Dining Chair,Ivar,http://www.ikea.com/ca/en/catalog/products/68156009/,1,Solid wood is a durable natural material which can be sanded and surface treated when required.,"Sturdy, but hard and boring. About the same (in cost, utility, and design) as putting a door on a set of sawhorses."
8,IKEA,Shelving,Billy Bookcase,http://www.ikea.com/ca/en/catalog/products/83688210/,1,Adjustable shelves can be arranged according to your needs. A simple unit can be enough storage for a limited space or the foundation for a larger storage solution if your needs change.,"Not for those with kids, or overly adventurous roommates. Shelves that beg to be climbed, stability that makes it a death trap."
9,CB2,Arm Chair,Parlour Atomic Orange Chair,http://www.cb2.com/parlour-atomic-orange-chair/f7238,8,"great dane. Hot atomic orange slubby weave is no slouch on bona fide living room chair inspired by our thing for Danish design. Barrel arms curve in a warm minimalist hug that looks great from all angles. Clean tapered back offsets deep comfy cushion. Love how the dark tuxedo legs play off the bright textured fabric?neat back angle on legs, too.","TBD, we'll report back when we've had a chance to check this out in person."
10,CB2,Couch,Avec Apartment Sofa,http://www.cb2.com/avec-peacock-apartment-sofa/f8244,4,"oui, we'll take it. So say you went to the Paris flea market and found this gem of a 50s sofa in an unbelievable blue that stops you in your tracks, but by the time you negotiated the euros and crated it back it'd still need refurbishing and oh, well, never mind, keep walking, but can't stop thinking about how cool it would be in your place. Find your vintage find anew at CB2: super long slim lines scaled just right for smaller spaces, cutback retro arms, low tufted back spanning double seat cushions?all avec a poly macro-weave in a totally tonal fresh hue: peacock blue on gunmetal stiletto legs. How easy was that?","It really is comfortable, and stylish, and not a bad pricepoint. Hard to test in store if you don't live in a major city, though."
11,CB2,Coffee Table,Smart Round Coffee Table,http://www.cb2.com/smart-round-marble-top-coffee-table/f4971,11,"ringside table. Open cylinder construction of slick polished chrome tops out in Carrara-style white/grey marble. Smooth and cool with a subtle silvery glint of crystallization. Sports low-rise genes just 12"" off the floor.","TBD, we'll report back when we've had a chance to check this out in person."
12,CB2,Desk,Torino Desk-Table,http://www.cb2.com/torino-desk-table/s467360,5,"slide and seek. Immaculately clean white desktop is either the sign of a highly organized, compulsive neatnik. Or a peek into the genius of designer Manuel Saez. Clever worktop in matte lacquer white engineered wood slides open via integrated pull to reveal nine square feet of stash space for laptop, iphone, ipad, projects, books, planners, folders, smalls and supplies?even hidden cord cutouts to charge electronics. Solid white oak stretcher base has continuous ""U"" legs braced with intentionally exposed hardware.","TBD, we'll report back when we've had a chance to check this out in person."
13,CB2,Bed,Dondra Bed,http://www.cb2.com/dondra-bed/f7665,3,"dream teak. Eco platform sleeps sustainably sound with headboard of teak planks reclaimed from homes no longer in use in India. Handplaned smooth, each plank patterns unique interest with its variegated tone, active grain, natural knots, splits and markings. Solid sustainable mango wood base is precision crafted with exposed peg joinery on low-profile block feet.Mattresses available, sold separately.","TBD, we'll report back when we've had a chance to check this out in person."
14,CB2,Dining Table,Blox Dining Table,http://www.cb2.com/blox-35x63-dining-table/f6247,7,"a leg up. Plantation grown solid mango wood planks shift perspective in asymmetric wide/narrow leg rotation. Bird's eye view from the top is stunning: sweeping woodgrain in midtone brown, inset legs create directional geometry (and dinner conversation). Seats six. Small space scale (small price, too).","TBD, we'll report back when we've had a chance to check this out in person."
15,CB2,Dining Chair,Pony Tweed Chair,http://www.cb2.com/pony-tweed-chair/s414118,3,giddyup. Iconic Breuer style chrome plated base adds a little bounce to comfy one-piece saddle suited up in smart salt/pepper tweed.,"TBD, we'll report back when we've had a chance to check this out in person."
16,CB2,Shelving,3.14 Bookcase,http://www.cb2.com/storage/furniture/3.14-white-bookcase/s129103,5,"high-rise view. Mies-like facades with a view all around in a design by Mark Daniel. Five shelves stagger in sturdy coreboard lacquered hi-gloss brite white. Display solo or gang together for quite the wall. Instant architecture as room dividers, too. Levelers and anti-tip hardware included.","TBD, we'll report back when we've had a chance to check this out in person."
17,EQ3,Arm Chair,Melody Chair,http://www.eq3.com/ca/en/p25374/melody-chair-fabric,5,The classic elegance of the Melody makes it a suitable lounge chair for both traditional and modern spaces alike.,"TBD, we'll report back when we've had a chance to check this out in person."
18,EQ3,Couch,Pekoe Apartment Sofa,http://www.eq3.com/ca/en/p25393/pekoe-apartment-sofa-fabric,4,This mid-century inspired sofa encourages relaxation. Build the ultimate sectional to suit your space with a wide variety of components.,"Both modular and comfortable, with an inviting look."
19,EQ3,Coffee Table,Tate Coffee Table,http://www.eq3.com/ca/en/p26588/tate-coffee-table,10,"Reminiscent of mid-century modern design, this table is made with solid oak. As oak is a natural material, variations of colour and pattern will vary, making each piece unique.","TBD, we'll report back when we've had a chance to check this out in person."
20,EQ3,Desk,Mosco Desk,http://www.eq3.com/ca/en/p25067/mosco-desk,6,"This ultra modern desk is fully finished on all sides, boasting a gloss finish with chrome accents and a painted tempered glass top. Use with the Mosco File Unit for additional storage.","TBD, we'll report back when we've had a chance to check this out in person."
21,EQ3,Bed,Burrows Platform Bed,http://www.eq3.com/ca/en/p25667/burrows-platform-bed,2,"Constructed from solid Mindi wood, this simple platform bed features a modern aesthetic with everyday functionality. Smooth rounded corners highlight the natural appearance of the solid wood grain.","TBD, we'll report back when we've had a chance to check this out in person."
22,EQ3,Dining Table,Husk Dinette Table,http://www.eq3.com/ca/en/p25274/husk-dinette-table,6,"Seat four people comfortably, and up to six in a pinch with the Husk table. The glass top and leg design create a visually light appearance.","TBD, we'll report back when we've had a chance to check this out in person."
23,EQ3,Dining Chair,Lyla Side Chair,http://www.eq3.com/ca/en/p27962/lyla-side-chair-set-of-two,3,"Inspired by the classic Scandinavian Windsor, these charming chairs are appropriate for both dining and occasional use. Made from solid rubberwood.","TBD, we'll report back when we've had a chance to check this out in person."
24,EQ3,Shelving,Asterix Ladder Shelf,http://www.eq3.com/ca/en/p25291/asterix-ladder-shelf,2,"Provide attractive storage for your odds and sods with this ladder shelf. With 5 shelves ranging in depth, this leaning shelf offers storage and style. As an added touch, the wood grain shows through the finish creating a natural appearance.","TBD, we'll report back when we've had a chance to check this out in person."
